ticker,name,sector,source
A,AGILENT TECHNOLOGIES INC,Health Care,SP500
AAPL,APPLE INC,Information Technology,SP500+NDX
ABBV,ABBVIE INC,Health Care,SP500
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,SP500+NDX
ABT,ABBOTT LABORATORIES,Health Care,SP500
ACGL,ARCH CAPITAL GROUP LTD,Financials,SP500
ACN,ACCENTURE PLC CLASS A,Information Technology,SP500
ADBE,ADOBE INC,Information Technology,SP500+NDX
ADI,ANALOG DEVICES INC,Information Technology,SP500+NDX
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,SP500
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,SP500+NDX
ADSK,AUTODESK INC,Information Technology,SP500+NDX
AEE,AMEREN CORP,Utilities,SP500
AEP,AMERICAN ELECTRIC POWER INC,Utilities,SP500+NDX
AES,AES CORP,Utilities,SP500
AFL,AFLAC INC,Financials,SP500
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,SP500
AIZ,ASSURANT INC,Financials,SP500
AJG,ARTHUR J GALLAGHER,Financials,SP500
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,SP500
ALB,ALBEMARLE CORP,Materials,SP500
ALGN,ALIGN TECHNOLOGY INC,Health Care,SP500
ALL,ALLSTATE CORP,Financials,SP500
ALLE,ALLEGION PLC,Industrials,SP500
ALNY,,,NDX
AMAT,APPLIED MATERIAL INC,Information Technology,SP500+NDX
AMCR,AMCOR PLC,Materials,SP500
AMD,ADVANCED MICRO DEVICES INC,Information Technology,SP500+NDX
AME,AMETEK INC,Industrials,SP500
AMGN,AMGEN INC,Health Care,SP500+NDX
AMP,AMERIPRISE FINANCE INC,Financials,SP500
AMT,AMERICAN TOWER REIT CORP,Real Estate,SP500
AMZN,AMAZON COM INC,Consumer Discretionary,SP500+NDX
ANET,ARISTA NETWORKS INC,Information Technology,SP500
AON,AON PLC CLASS A,Financials,SP500
AOS,A O SMITH CORP,Industrials,SP500
APA,APA CORP,Energy,SP500
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,SP500
APH,AMPHENOL CORP CLASS A,Information Technology,SP500
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,SP500
APP,APPLOVIN CORP CLASS A,Information Technology,SP500+NDX
APTV,APTIV PLC,Consumer Discretionary,SP500
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,SP500
ARES,ARES MANAGEMENT CORP CLASS A,Financials,SP500
ARM,,,NDX
ASML,,,NDX
ATO,ATMOS ENERGY CORP,Utilities,SP500
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,SP500
AVGO,BROADCOM INC,Information Technology,SP500+NDX
AVY,AVERY DENNISON CORP,Materials,SP500
AWK,AMERICAN WATER WORKS INC,Utilities,SP500
AXON,AXON ENTERPRISE INC,Industrials,SP500+NDX
AXP,AMERICAN EXPRESS,Financials,SP500
AZO,AUTOZONE INC,Consumer Discretionary,SP500
BA,BOEING,Industrials,SP500
BAC,BANK OF AMERICA CORP,Financials,SP500
BALL,BALL CORP,Materials,SP500
BAX,BAXTER INTERNATIONAL INC,Health Care,SP500
BBY,BEST BUY INC,Consumer Discretionary,SP500
BDX,BECTON DICKINSON,Health Care,SP500
BEN,FRANKLIN RESOURCES INC,Financials,SP500
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,SP500
BG,BUNGE GLOBAL SA,Consumer Staples,SP500
BIIB,BIOGEN INC,Health Care,SP500
BK,BANK OF NEW YORK MELLON CORP,Financials,SP500
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,SP500+NDX
BKR,BAKER HUGHES CLASS A,Energy,SP500+NDX
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,SP500
BLK,BLACKROCK INC,Financials,SP500
BMY,BRISTOL MYERS SQUIBB,Health Care,SP500
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,SP500
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,SP500
BRO,BROWN & BROWN INC,Financials,SP500
BSX,BOSTON SCIENTIFIC CORP,Health Care,SP500
BX,BLACKSTONE INC,Financials,SP500
BXP,BXP INC,Real Estate,SP500
C,CITIGROUP INC,Financials,SP500
CAG,CONAGRA BRANDS INC,Consumer Staples,SP500
CAH,CARDINAL HEALTH INC,Health Care,SP500
CARR,CARRIER GLOBAL CORP,Industrials,SP500
CASY,CASEYS GENERAL STORES INC,Consumer Staples,SP500
CAT,CATERPILLAR INC,Industrials,SP500
CB,CHUBB,Financials,SP500
CBOE,CBOE GLOBAL MARKETS INC,Financials,SP500
CBRE,CBRE GROUP INC CLASS A,Real Estate,SP500
CCEP,,,NDX
CCI,CROWN CASTLE INC,Real Estate,SP500
CCL,CARNIVAL CORP,Consumer Discretionary,SP500
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,SP500+NDX
CDW,CDW CORP,Information Technology,SP500
CEG,CONSTELLATION ENERGY CORP,Utilities,SP500+NDX
CF,CF INDUSTRIES HOLDINGS INC,Materials,SP500
CFG,CITIZENS FINANCIAL GROUP INC,Financials,SP500
CHD,CHURCH AND DWIGHT INC,Consumer Staples,SP500
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,SP500
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,SP500+NDX
CI,CIGNA,Health Care,SP500
CIEN,CIENA CORP,Information Technology,SP500
CINF,CINCINNATI FINANCIAL CORP,Financials,SP500
CL,COLGATE-PALMOLIVE,Consumer Staples,SP500
CLX,CLOROX,Consumer Staples,SP500
CMCSA,COMCAST CORP CLASS A,Communication,SP500+NDX
CME,CME GROUP INC CLASS A,Financials,SP500
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,SP500
CMI,CUMMINS INC,Industrials,SP500
CMS,CMS ENERGY CORP,Utilities,SP500
CNC,CENTENE CORP,Health Care,SP500
CNP,CENTERPOINT ENERGY INC,Utilities,SP500
COF,CAPITAL ONE FINANCIAL CORP,Financials,SP500
COHR,COHERENT CORP,Information Technology,SP500
COIN,COINBASE GLOBAL INC CLASS A,Financials,SP500
COO,COOPER INC,Health Care,SP500
COP,CONOCOPHILLIPS,Energy,SP500
COR,CENCORA INC,Health Care,SP500
COST,COSTCO WHOLESALE CORP,Consumer Staples,SP500+NDX
CPAY,CORPAY INC,Financials,SP500
CPB,CAMPBELL SOUP,Consumer Staples,SP500
CPRT,COPART INC,Industrials,SP500+NDX
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,SP500
CRH,CRH PUBLIC LIMITED PLC,Materials,SP500
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,SP500
CRM,SALESFORCE INC,Information Technology,SP500
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,SP500+NDX
CSCO,CISCO SYSTEMS INC,Information Technology,SP500+NDX
CSGP,COSTAR GROUP INC,Real Estate,SP500+NDX
CSX,CSX CORP,Industrials,SP500+NDX
CTAS,CINTAS CORP,Industrials,SP500+NDX
CTRA,COTERRA ENERGY INC,Energy,SP500
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,SP500+NDX
CTVA,CORTEVA INC,Materials,SP500
CVNA,CARVANA CLASS A,Consumer Discretionary,SP500
CVS,CVS HEALTH CORP,Health Care,SP500
CVX,CHEVRON CORP,Energy,SP500
D,DOMINION ENERGY INC,Utilities,SP500
DAL,DELTA AIR LINES INC,Industrials,SP500
DASH,DOORDASH INC CLASS A,Consumer Discretionary,SP500+NDX
DD,DUPONT DE NEMOURS INC,Materials,SP500
DDOG,DATADOG INC CLASS A,Information Technology,SP500+NDX
DE,DEERE,Industrials,SP500
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,SP500
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,SP500
DG,DOLLAR GENERAL CORP,Consumer Staples,SP500
DGX,QUEST DIAGNOSTICS INC,Health Care,SP500
DHI,D R HORTON INC,Consumer Discretionary,SP500
DHR,DANAHER CORP,Health Care,SP500
DIS,WALT DISNEY,Communication,SP500
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,SP500
DLTR,DOLLAR TREE INC,Consumer Staples,SP500
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,SP500
DOV,DOVER CORP,Industrials,SP500
DOW,DOW INC,Materials,SP500
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,SP500
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,SP500
DTE,DTE ENERGY,Utilities,SP500
DUK,DUKE ENERGY CORP,Utilities,SP500
DVA,DAVITA INC,Health Care,SP500
DVN,DEVON ENERGY CORP,Energy,SP500
DXCM,DEXCOM INC,Health Care,SP500+NDX
EA,ELECTRONIC ARTS INC,Communication,SP500+NDX
EBAY,EBAY INC,Consumer Discretionary,SP500
ECL,ECOLAB INC,Materials,SP500
ED,CONSOLIDATED EDISON INC,Utilities,SP500
EFX,EQUIFAX INC,Industrials,SP500
EG,EVEREST GROUP LTD,Financials,SP500
EIX,EDISON INTERNATIONAL,Utilities,SP500
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,SP500
ELV,ELEVANCE HEALTH INC,Health Care,SP500
EME,EMCOR GROUP INC,Industrials,SP500
EMR,EMERSON ELECTRIC,Industrials,SP500
EOG,EOG RESOURCES INC,Energy,SP500
EPAM,EPAM SYSTEMS INC,Information Technology,SP500
EQIX,EQUINIX REIT INC,Real Estate,SP500
EQR,EQUITY RESIDENTIAL REIT,Real Estate,SP500
EQT,EQT CORP,Energy,SP500
ERIE,ERIE INDEMNITY CLASS A,Financials,SP500
ES,EVERSOURCE ENERGY,Utilities,SP500
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,SP500
ETN,EATON PLC,Industrials,SP500
ETR,ENTERGY CORP,Utilities,SP500
EVRG,EVERGY INC,Utilities,SP500
EW,EDWARDS LIFESCIENCES CORP,Health Care,SP500
EXC,EXELON CORP,Utilities,SP500+NDX
EXE,EXPAND ENERGY CORP,Energy,SP500
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,SP500
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,SP500
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,SP500
F,FORD MOTOR CO,Consumer Discretionary,SP500
FANG,DIAMONDBACK ENERGY INC,Energy,SP500+NDX
FAST,FASTENAL,Industrials,SP500+NDX
FCX,FREEPORT MCMORAN INC,Materials,SP500
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,SP500
FDX,FEDEX CORP,Industrials,SP500
FE,FIRSTENERGY CORP,Utilities,SP500
FER,,,NDX
FFIV,F5 INC,Information Technology,SP500
FICO,FAIR ISAAC CORP,Information Technology,SP500
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,SP500
FISV,FISERV INC,Financials,SP500
FITB,FIFTH THIRD BANCORP,Financials,SP500
FIX,COMFORT SYSTEMS USA INC,Industrials,SP500
FOX,FOX CORP CLASS B,Communication,SP500
FOXA,FOX CORP CLASS A,Communication,SP500
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,SP500
FSLR,FIRST SOLAR INC,Information Technology,SP500
FTNT,FORTINET INC,Information Technology,SP500+NDX
FTV,FORTIVE CORP,Industrials,SP500
GD,GENERAL DYNAMICS CORP,Industrials,SP500
GDDY,GODADDY INC CLASS A,Information Technology,SP500
GE,GE AEROSPACE,Industrials,SP500
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,SP500+NDX
GEN,GEN DIGITAL INC,Information Technology,SP500
GEV,GE VERNOVA INC,Industrials,SP500
GILD,GILEAD SCIENCES INC,Health Care,SP500+NDX
GIS,GENERAL MILLS INC,Consumer Staples,SP500
GL,GLOBE LIFE INC,Financials,SP500
GLW,CORNING INC,Information Technology,SP500
GM,GENERAL MOTORS,Consumer Discretionary,SP500
GNRC,GENERAC HOLDINGS INC,Industrials,SP500
GOOG,ALPHABET INC CLASS C,Communication,SP500+NDX
GOOGL,ALPHABET INC CLASS A,Communication,SP500+NDX
GPC,GENUINE PARTS,Consumer Discretionary,SP500
GPN,GLOBAL PAYMENTS INC,Financials,SP500
GRMN,GARMIN LTD,Consumer Discretionary,SP500
GS,GOLDMAN SACHS GROUP INC,Financials,SP500
GWW,WW GRAINGER INC,Industrials,SP500
HAL,HALLIBURTON,Energy,SP500
HAS,HASBRO INC,Consumer Discretionary,SP500
HBAN,HUNTINGTON BANCSHARES INC,Financials,SP500
HCA,HCA HEALTHCARE INC,Health Care,SP500
HD,HOME DEPOT INC,Consumer Discretionary,SP500
HIG,HARTFORD INSURANCE GROUP INC,Financials,SP500
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,SP500
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,SP500
HON,HONEYWELL INTERNATIONAL INC,Industrials,SP500+NDX
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,SP500
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,SP500
HPQ,HP INC,Information Technology,SP500
HRL,HORMEL FOODS CORP,Consumer Staples,SP500
HSIC,HENRY SCHEIN INC,Health Care,SP500
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,SP500
HSY,HERSHEY FOODS,Consumer Staples,SP500
HUBB,HUBBELL INC,Industrials,SP500
HUM,HUMANA INC,Health Care,SP500
HWM,HOWMET AEROSPACE INC,Industrials,SP500
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,SP500
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,SP500
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,SP500
IDXX,IDEXX LABORATORIES INC,Health Care,SP500+NDX
IEX,IDEX CORP,Industrials,SP500
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,SP500
INCY,INCYTE CORP,Health Care,SP500
INTC,INTEL CORPORATION CORP,Information Technology,SP500+NDX
INTU,INTUIT INC,Information Technology,SP500+NDX
INVH,INVITATION HOMES INC,Real Estate,SP500
IP,INTERNATIONAL PAPER,Materials,SP500
IQV,IQVIA HOLDINGS INC,Health Care,SP500
IR,INGERSOLL RAND INC,Industrials,SP500
IRM,IRON MOUNTAIN INC,Real Estate,SP500
